name,international
Agros International,t
Agua Pura Para El Pueblo,t
Ahiazu Mbaise General Hospital,f
AHMEN,t
Ahuachapan Hospital,f
AIC Bethany Crippled Children's Center,f
Aid Afghanistan for Education,f
Aide et Action Pour la Paix,f
Aid for Haiti,t
Aid For Kids,t
Aids Care Education and Training in Uganda (ACET Uganda),f
AIDS CARE TRAINING AND SUPPORT 2 CLINIC,f
AIDS Health Foundation (AHF),t
AIDS Information Centre-Uganda (AIC),f
Aid to Artisans,t
AIMP NETWORK LTD/GTE,f
Air Express International,t
AJAC Lukal,f
Ajkun Pa Le Qatinimit,f
Ajuja Children's Home,f
Akarass,f
Â Khulisa Management Services,f
Akili Dada,f
Akjoujt Regional Hospital,f
Akkar Network for Development (AND),f
Akshara Foundation,f
Akshaya Patra Foundation,f
Akshaya Patra Foundation USA,t
Akukuranut Development Trust,f
Akyem Health Center,f
Al Ahli Arab Hospital,f
Alaska Island Community Services,f
Alaska Sudan Medical Project,t
Albanian Deposit Insurance Agency,f
Albanian Financial Supervisory Authority,f
Albertina Kerr Centers Foundation,f
Albrecht Free Clinic,f
Alcona Health Centers,f
A Leg To Stand On,t
Alejandro Go Beltran Foundation (AGB),f
ALERT Hospital (CCFC Hospital+Clinton Foundation share),f
Alfalit,t
Al-Farouk Medical Center,f
Alganse Health Center,f
Algerian National Federation of People with Disabilities,f
Alhassan Foundation for Spinal Cord Injury,f
Alianza Arkana,f
Alianza Evangelica de Guatemala or Evangelical Alliance of Guatemala (AEG),f
Alianza GTH,f
ALIDe,f
A Life A Time Foundation,t
ALIMA,t
Aliso Elementary School,f
Al Istikal Hospital,f
Alive & Kicking,t
Alive Medical Services,f
Al Jidara,f
"All Africa Leprosy, TB, Rehabilitation, Research and Training Centre (ALERT)",t
All Care One Community Health Center,f
Alliance Against Trafficking in Women and Children in Nepal (AATWIN),f
Alliance for Children Everywhere,t
Alliance for Social Mobilization,f
Alliance Internationale pour le Developpement et la Solidarite Afrique (AIDAS),f
Alliance Israelite Universelle,f
Allied Recovery International (ARI),f
All India Institute of Medical Sciences,f
Allison Park Church,t
AlMajmoua - The Lebanese Association for Development,f
Al Makassed Charitable Hospital,f
Almanar,f
Al-Mesalla Organization for Human Resources Development,f
ALPACAS de COLOR,f
Altai Mir University,t
Altavas District Hospital,f
"Alternativas y Procesos, A.C.",f
Alternative Cote d'Ivoire,f
Al Yarmouk Hospital,f
Alzheimer Mexico IAP,f
Alzheimer's Disease International (ADI),f
Amalia Simioni Hospital,f
Aman Foundation,f
AMAPROS (MCP II),f
AMAR ICF,f
Amaro-Drom Roma Union - Albania,f
Amar Seva Sangam,f
Amazon Watch,t
Amazon Xpedition Outreach,t
Ambassadors In Sport,f
Ambergris Caye Elementary School,f
Ambito Productivo,f
A.M. Edwards Medical Center,f
American Airlines,t
American Diabetes Association,f
American Embassy Monrovia,f
American Foundation for Children with AIDS,t
American Friends of Le Korsa,t
American Friends of Neve Shalom/Wahat al-Salam,t
American Himalayan Foundation,t
American Indian Healing Center,f
"American Indian Health and Family Services of Southeastern Michigan, Inc.",f
American Indian Health & Services,f
American Institute of Architects,f
American Medical and Dental Services,t
American Medical Overseas Relief,t
American Nicaraguan Foundation (ANF),f
American Osteopathic Foundation,t
American Peanut Council,t
American Samoa Department of Agriculture,f
Americans Overseas Domestic Violence Crisis Center,t
American Thoracic Society (ATS),t
American University of Beirut,f
American University of the Caribbean (AUC),f
Americares Free Clinics,f
America Solidaria,t
"Amerisupport Charities, Inc.",t
Amhara Bureau of Education,f
Amhara Credit & Saving Instituion (ACSI),f
Amhara Regional Health Bureau,f
Amied,f
Amigos Para Siempre,f
Amigos por Cristo,f
Amish Mennonite Aid,t
Amistad Community Health Center,f
"Amite County Medical Services, Inc.",f
Amity Foundation,t
Ammonoosuc Community Health Services,f
Amrita Institute of Medical Science,f
Ana and Vlade Divac Foundation,f
Ana Aqra',f
ANACAFE,f
ANAFAE,f
Andaman Resources Restoration,f
Anderson Free Clinic,f
Anderson Valley Health Center,f
Andrea Browning Clinic,f
Aneho Hospital,f
ANERA Gaza,f
ANGAZA NURU COMMUNITY BASED ORGANIZATION,f
Angaza Sports and Development Centre,f
"Angel House Orphanage Foundation, Inc.",f
Angels Bearing Gifts,f
Angels Community Clinic,f
Angels In Waiting,t
Angel Wings International,t
Angkor Hospital for Children,f
Angkor Photo,t
Anglican Board of Mission Australia,f
Anglican Church of Kenya,f
Anglican Church of Kenya Diocese of Kitui,f
Anglican Church of Kenya Eldoret,f
Anglican Church of Kenya: Pwani Christian Community Services,f
Anglican Council in Malawi,f
Anglican Development Services,f
Anglican Development Services - Nyanza,f
Anglican Diocesan Development and Relief Organization,f
Anglican Diocese of Bo,f
Anglican Diocese of Boga,f
Anglican Diocese of Cyangugu,f
AnglicanDiocese of Guatemala,f
Anglican Diocese of Lebombo,f
Anglican Diocese of Masvingo,f
Anglican Diocese of Namibia,f
Anglican Episcopal Diocese of El Salvador,f
Anglican Medical Services,f
Anglican Province of Brazil,f
Anglican Relief and Development in Zimbabwe,f
Angola Ministry of Health,f
Animal Balance,t
Animal Relief Coalition for Haiti (ARCH),t
Animal Welfare Board of India,t
Animas Sutura,f
Anna Hofer Child & Family Support Organization (AHCFSO),f
Ann Foundation Inc,t
Annotto Bay Hospital,f
Ann Silverman Community Health Clinic,f
Another Joy Foundation,t
ANSAGIAD,f
Ansanm Pou Yon Demen Miyo an Ayiti,f
Antelope Valley Community Clinic,f
Antelope Valley Community Clinic & Corporate Office,f
Antelope Valley Community Clinic Health & Wellness Center,f
Antelope Valley Community Clinic Lancaster,f
Antelope Valley Community Clinic Palmdale,f
Antlers First Baptist Church Free Clinic,f
ANTOF RURAL RESOURCE DEVELOPMENT CENTRE,f
Anudip Foundation for Social Welfare,f
Anupama Education Society (AES),f
APECOS,f
APENF,f
APHEDD,f
APICHA Community Health Center,f
Apne Aap Women's Collective (AAWC),f
APOPO vzw,f
Apostoli,f
Apostolic Christian Church,t
Appropriate Technology Collaborative,t
APRAINORES cashew cooperative in El Salvador,f
APRAN,f
APROCACAHO,f
Arab American Civic Council,f
Arab-Americare Foundation,t
Arabkir Medical Center,f
Ararat Medical Center,f
Aravind Eye Foundation,t
Arba Minch General Hospital,f
Arbeiter-Samariter-Bund Deutschland e.V. (ASB),t
ARCASIA,t
Arcelor Mittal Buchanan Hospital,f
Archdiocese of Kumasi,f
Archdiocese of Miami,f
Arche d'Alliance,f
Architecture for Humanity,t
ARDI,f
ARD Inc.,t
Arid Lands Development Focus,t
Arise Clinic (Assemblies of God Health Clinic in Gelee Beach near Les Cayes),f
Arizona State University,t
"Arlington Academy of Hope, Inc.",t
Arlington Free Clinic,f
Armed Forces Teaching General Hospital,f
Armenian Environmental Network,t
Armine Pagoumian Polyclinic and Diagnostic Center,f
Arogya World,t
ARPAC- Cusco Regional Agricultural Producers Association,f
Arpan,f
Arquetopia,f
Arsi Nature Conservation for Environmental Development Association,f
Art & Global Health Center Africa,f
Arthur Nagel Community Clinic,f
Artists for Peace and Justice,t
Arts for All,f
Arts To End Genocide,t
ARUP,t
Ar Yone Oo (AYO),f
ASANA (Friends of Nature,f
Asanble Vwazen Jake,f
Asanble Vwazen Solino,f
ASAP Foundation,t
ASCALA,f
Ascension de Thor,f
ASEBED,t
ASEBED Hospital,f
A Self-Help Assistance Program (ASAP),t
Ashby Health Center Lifelong Medical Care,f
Ashesi University Foundation,t
Ashland Community Health Center,f
Ashland Free Medical Clinic,f
ASHOKA JAPAN,f
Ashraya,f
"Ashraya Initiative for Children, Inc.",t
ASHWINI CHARITABLE TRUST,f
Asia America Initiative,t
Asia Disaster Preparedness Center,t
Asia Injury Prevention Foundation,f
Asian Development Bank,t
Asian Health Services,f
Asian Health Services Frank Kiang Medical Center,f
Asian Human Services,f
Asian Human Services Family Health Center,f
Asian Pacific Health Care Ventures,f
Asian & Pacific Islander Wellness C,f
Asile Communal,f
Asociacion Agropecuaria 'Mujeres Produciendo en la Tierra' de Responsabilidad Limitada. AMSATI de R.L.,f
Asociacion Amigos de San Isidro,f
Asociacion Centro Cultural Batahola Norte,f
Asociacion Centro Nacional Salud Ambiente y Trabajo Agua Viva Censat Agua Viva,f
Asociacion Civil EQUIDAD,f
Asociacion Civil La Cuerda,f
Asociacion Civil Yachay Wasi Casa Cultural Ollantaytambo,f
Asociacion Colombiana de Cafes Especiales,f
Asociacion Comision Paz y Ecologia (COPAE,t
Asociacion Comunicando y Capacitando a mujeres trans con VIH en El Salvador,f
Asociacion Comunitaria Unida por el Agua y la Agricultura,f
Asociacion Cooperativa de Aprovisionamiento,f
Asociacion Coordinadora Comunitaria de Servicios para la Salud,t
Asociacion Costaricense de Fibrosis Quistica,f
Asociacion Creciendo con Diabetes,f
Asociacion de Autoridades IndÃ­genas del Pueblo Arhuaco,f
Asociacion de Cabildos Indigenas del Norte del Cauca,f
Asociacion de Consultores y Asesores Internacionales,f
Asociacion de Desarrollo AgrÃ­cola y Microempresarial (ADAM),t
Asociacion de Desarrollo Economico Social Santa Marta,f
Asociacion de Desarrollo Integral Comunitario Tejutla (ADICTA),f
Asociacion de Educacion y Comunicacion La Cuculmeca,f
Asociacion de Lesbianas de El Salvador Heidy Lavinia,f
Asociacion de Lisiados de Guerra de El Salvador. 'Heroes de Noviembre del 89',f
Asociacion de Mujeres Emprendedoras de Waslala,f
Asociacion de Mujeres Flor de Piedra,f
Asociacion de Mujeres Las Golondrinas,f
Asociacion de Mujeres Olopenses - AMO Chorti,f
Asociacion de Mujeres Trabajadoras del Sexo LiquidÃ¡mbar,f
Asociacion de Organismos No Gubermentales (ASONOG),f
Asociacion de Pequenos Productores Bananeros El Guabo (APPBG),f
Asociacion de Pequenos Productores de Cafe de El Salvador (APECAFE),f
Asociacion de productores de cacao de Honduras (APROCACAHO),f
Asociacion de Programas Integrales de Educacion Comunitaria Astrid Delleman (ASOPIECAD),f
Asociacion Dignidad,f
Asociacion Dominicana de la Orden de Malta,f
Asociacion Equipo Maiz,f
Asociacion Estrella de Mar,f
Asociacion Fomento y Promocion para el Desarrollo Andino (FODESA),f
Asociacion Grupo de Trabajo Redes (AGTR),f
Asociacion Interamericana Para La Defensa Del Ambiente (AIDA),t
Asociacion Mangle,f
Asociacion Medico Social Westmont Bethel,f
Asociacion Mexicana de Malta A.C,f
Asociacion Movimiento de Jovenes Encuentristas (MOJE),f
Asociacion Movimiento Mi Cometa,t
Asociacion Nicaraguense de Transgeneras,f
Asociacion para el Desarrollo Integral Unima'l Ranim'a Ixo'q (Grandeza Corazon de Mujer),f
Asociacion para la Diversificacion y el Desarrollo Agricola Comunal,f
Asociacion para la Promocion Social Alternativa MINGA,f
Asociacion por la Humanizacion de la Vida / Colectivo Gaviota,f
Asociacion por los Derechos de la Diversidad Sexual NicaragÃ¼ense,f
Asociacion Pro Desarrollo del HÃ¡bitat Rural - PODEHR RURAL,f
Asociacion Pro Ninos Quemados de Nicaragua,f
Asociacion Proteccion a la Salud,f
Asociacion Salvadorena de Transgeneras,f
Asociacion SHARE Guatemala,f
Asociacion Tierra y Vida,f
Asociacion VIDA PERU,f
Asociacion Vivamos,f
Asodeso Hospital,f
Asorinoquia,f
Asosyasyon Tet Kole ti Peyizan Ayisyen,f
ASPCA,t
ASSET India Foundation,t
Assisi Development Foundation,f
ASSIST,f
Assistance Mission Africa,f
Associacao Pela Familia,f
Associacao Saude Crianca,f
"Associacion Mexicana de Malta, A.C.",f
Associacion Paz Peru,f
Association Beninoise pour la Promotion de la Famille (ABPF),f
Association d'Aide aux Enfants et aux Familles Demunies,f
Association d'Appui aux Initiatives de Paix et de Dveloppement,f
Association d'Appui aux Initiatives Locales de Developpement (ASSAILD),f
Association d'Appui et de Promotion Rurale du Gulmu (APRG),f
Association de developpement le Gabou,f
Association de la Solidarite Nationale (ASON),f
Association d'Entraide de Dame Mariens (AEADMA),f
Association de Producteurs et Vendeurs de Fruits du Sud (ASPVEFS),f
Association des Jeunes Pour le Developpement do la Communaute de Meyer,f
Association des Juristes Senegalaises,f
Association des Organisations Professionelles Paysannes,t
Association de Soutien Ã l'Autopromotion Sanitaire et Urbaine,f
Association des Paysans de Vallue (APV),f
Association des Universitaires Capois pour l'Avancement et le Progres (AUCAP),f
Association Femmes Soleil D'Haiti,f
Association for Communities' Health Care and Social Services (APSIES),f
Association for Community and Ecology Development (ACED),f
Association for Development for our Villager's Rights (ADOVIR),f
Association for Education Neoumanist,f
Association for Humanitarian Development (AHD),f
Association for Livestock Development of Achuapa (ASODEPA),f
Association for Peace and Solidarity,f
Association for Social and Environmental Development,f
Association for the Development of Peasant Initiatives (ASSODIP),f
Association for the Development of Vareux II (ADEVA II),f
Association for the Diversification and Development of Communal Agriculture (ADDAC),f
Association for the Prevention and Control of Rabies in India (APCRI),f
"Association Haitienne de Development Humain, Inc",t
Association la Voute Nubienne (AVN),t
Association Mialebouni,f
Association Monde Rural (AMR),f
Association Najdeh,f
Association Nationale de Protection des Femmes et Enfants Haitiens,f
Association Nationale de Soutien,f
Association Nationale des Scouts de Haiti (ANSH),f
Association Nationale pour le Bien-Etre de la Population,f
Association Nodde Nooto (A2N),f
Association of Christian Health Institutions of Haiti (AISCH) Facilities,f
ASSOCIATION OF CHRISTIAN MOTHERS FOR ASSISTANCE TO VULNERABLE (AMCAV),f
Association of Church Development Projects,f
Association of Collective Hands of Roche-Ã -Bateau (APMCR),f
Association of Community Health Services (ASECSA),f
ASSOCIATION OF IRINGA TOMATO AND VEGETABLE GROWERS COMPANY LIMITED (AITVG),f
Association of Kigali Women in Sports,f
Association of Livestock Development in Niger (AREN),f
Association of Medical Doctors of Asia,f
Association of Municipalities of Ariari (AMA),f
Association of Relief Volunteers,f
Association of Sisterhoods of Kenya,f
Association of Sustainable Rural Development,f
Association of the Peasants of Fondwa,f
Association pour l'Appui au Developpement Integre (AADI),f
Association pour la Promotion de la Famille Hatienne (PROFAMIL),f
"Association pour la promotion de la sante de la Femme, de la Mere, de l'Enfant et de la Famille",f
Association Pour le Developpement du Nord du Mali,f
Association pour le Progres et l'Avantage de Desrivaux- Pestel (ASSOPAD),f
Association Pour les Libertes Fondamentale au Tchad (APLFT),f
Association Regionale des Femmes pour la Recherche de la Paix en Casamance,f
Association Rwandaise des Diabetiqu,f
Association Saving Poor Family for Development (ASPFD),f
Association Suisse des Amis d'Haiti,t
Association Union Reflexion Action (AURA) of Mongo,t
Associazione veterinaria di cooperazione con i Paesi in via di sviluppo (AVEC PVS) Valle d'Aosta,t
Associazione Volontari per il Servizio Internazionale,t
ASSODEMBO,f
Astha Sansthan,f
Astitva,f
ASVO,f
Asylum Access,t
"Atchison Community Health Clinic, Inc.",f
Ateliers Pilotes de Technologie (APTECH),t
Atenas Community Health Center Inc.,f
Atlanta Wild Animal Rescue Effort Inc (AWARE),f
"Atlas Service Corps, Inc.",t
Atma,f
Atrapasuenos,f
Attaawen Charity,f
Augusta Regional Free Clinic,f
"AUMAZO, INC.",t
AUMOHD,f
Aurora County Community Health Center,f
Auroville Unity Fund,f
Australia Zoo Wildlife Warriors,t
"Autism Pensacola, Incorporated",f
Autonomous not-for-profit organisation 'Helping Stray Dogs',f
Avcilar Saglik Grup Baskanligi,f
Avenal Community Health Center,f
Avicenna Community Health Center,f
"Avon Products Foundation, Inc.",f
AVSI,t
Awaaz-e-Niswaan,f
Awamaki,f
Aweil Community Development Organisation,f
Ayago,f
Ayauskam,f
Ayira Health Services,f
Ayiti Kale Je (AKJ),f
AYNISUYU,f
Ayrton Senna Institute,f
Ayuda,f
"AYUDA, Inc",t
Baark!,f
Back In The Saddle Equine Therapy Center,f
Backpack Health Worker Team,f
Badan Penanggulangan Bencana Daerah (BPBD),f
BadeiDha Moe,t
Badlao Foundation,f
Ba Futuru / For the Future,f
Ba Hospital,f
Bais City District Hospital,f
Baitul Qiradh Baburrayyan Cooperative,f
Bakgatla Bolokang Matshelo (BBM),f
Bakhchisaray Central Rayon Hospital,f
Bakhtar Development Network Global,t
Bakusekamajja Women Farmers Development Association (BWFDA),f
Balajothi Centre for the Disabled,f
Bal Asha Trust,f
Balay Mindanaw Foundation,f
Balballa Hosps,f
Bal Sambal Bal Vikas And Anusandhan Sansthan,f
Bamenda Regional Hospital,f
BAMTAARE,f
Banadir University/SDR,f
Banankeledaga Hospital,f
Banco Agricola,f
Banco de Ojos,f
Banco de Reservas,f
Banco Solidario,f
Bandhan,f
Banelino,f
Baney Hosp,f
Bangalore Hospice Trust - Karunashraya,f
Bangalore Rural Educational and Development Society (BREADS),f
Bangladesh Agriculture Research Institute (BARI),f
Bangladesh Agriculture University (BAU),f
Bangladesh - A Hope of Expectation (PROTTASHA),t
Bangladesh Association for Maternal and Neonatal Health,f
Bangladesh Association for Social Advancement (BASA),f
Bangladesh Bureau of Statistics,f
Bangladesh Institute of Theatre Arts (BITA),f
Bangladesh Rural Advancement Committee (BRAC) Haiti,t
Bank of Albania,f
Bannu Hospital,f
BanRural,f
Banso Baptist Hospital,f
Banthat Mountain Range Land Reform Network,f
Banyan Global,t
Banyo Baptist Hospital,f
Baoqing Hospital,f
Baptist Convention of Haiti,t
Baptist General Association of Virginia,t
Baptist Haiti Mission,t
Baptist Hospital Mutengene,f
Baptist Mission Center,f
Baptist World Aid,t
Baracoa Municipal Hospital,f
Baraka Dental Clinic,f
Bar Hostess Empowerment And Support Programme,f
Baribo Referral Hospital,f
BARKA Foundation,t
Barrier Islands Free Medical Clinic,f
Bartica Hospital,f
Bartz-Altadonna Community Health Center,f
Barzani Charity Foundation,f
Bassa Ministers Association,f
Bassa Women Development Association,f
Bastar Sewak Mandal (BSM),f
Bastrop Community Health,f
Batey Antonci Clinic,f
"Batey Relief Alliance, Inc.",f
Batticaloa District Women's Network,f
Battle Ground HealthCare,f
Baudha Bahunipati Pariwar (BBP),f
Bayalpata Hospital,f
Bay Area Rescue Mission,t
Bayiti Home for the Aged,f
Baylor College Of Medicine,f
Baylor College of Medicine Children's Foundation Uganda,f
Baylor-Uganda,f
Bayou Clinic,f
BCZS Bomongo,f
BCZS Kongolo',f
Beach Health Clinic,f
Beacon Health Center,f
Beacon of Hope,t
Bearing Point,t
Bearskin Meadow Camp,f
Beat Making Lab,t
Beauchamp Charity Foundation,t
Beaufort-Jasper Hampton Comprehensive Health Services,f
Beauregard Agape Community Clinic,f
Beckley Health Right,f
Bees for Development Trust,t
Beeville Health Center,f
Befelatanana Hospital,f
Beira Central Hospital,f
Beit Trust CURE Hospital,f
Belinda Birthing Home,f
Belize Bird Rescue,f
Bella Defense Referral Hospital,f
Bell Gardens Family Medical Center,f
Belmopan Western Regional Hospital,f
Belvidere Heights Baptist Church,t
Ben Archer Health Center,f
Ben Archer Health Center Pharmacy,f
Ben Archer Health Center Pharmacy of Las Cruces,f
Benevolent Health Foundation-Mongolia,f
Beninese Agency for the Promotion of Commercial Exchanges (ABePEC),f
Benjamin Bloom Children's Hospital,f
Benjamin William Mkapa HIV/AIDS Foundation,f
Benkadi Ton Association of Diakobougou,f
Bennett County Community Health Center,f
Berbera Hospital,f
Berbice Regional Health Authority,f
Bere Adventist Hospital,f
Bergen Volunteer Medical,f
Bernadette Strebel World Peace,t
Berzin Archives e.V.,t
Best Friends Animal Society,f
Betances Health,f
Bethania Hospital,f
Bethel China,f
Be Trust,f
Better Family Foundation,f
Beyond Borders,t
BHN Association,t
Bhumi,f
Big Change Charity Foundation,f
Bike Pittsburgh,f
Binaytara Foundation,t
Birthing Kit Foundation (Australia),t
BLIND EDUCATION AND REHABILITATION DEVELOPMENT ORGANISATION (BERDO).,f
Blind People's Association (India),f
Blossoms of Guyana,t
B L O S S O M T R U S T,f
Blue Cross of India,f
Blue Planet Network,t
Bolivian Charity Foundation,t
Bonobo Conservation Initiative,t
"BonZeb, Inc",t
Bosana Foundation,t
BOSCO Bangalore oniyavara seva coota,f
Boxgirls International,t
Boys and Girls Clubs of St. Charles,f
Boys & Girls Clubs of Huntington Valley,f
Boys & Girls Clubs of Portland Metropolitan Area,f
Boy With a Ball,t
Bray Cancer Support Centre,f
Breaking Ground,t
Breastfeeding Promotion Network of India (BPNI),t
Broome Street Academy Charter High School,f
Buds of Christ Charitable Trust,f
"Building Tomorrow, Inc.",t
Burbank Temporary Aid Center,f
Caacupe ONG (Fundacion Accion Pais para la Formacion de Liderazgo Social),f
Cambodian Arts & Scholarship Foundation,t
Cambodian Children's House of Peace,f
Cambodian Child's Dream Organization Inc.,t
Cambodian Living Arts,f
Cambodian Rural Development Team,f
Cambodian Women's Development Agency,f
Cameron Project Group,t
Cameroon Association of Active Youths,f
Cameroon Football Development Program,t
Camp Amnicon,f
Camp Horizon,f
Camp Shout Out,f
Canadian Cancer Society,f
Canales Asociacion Civil,f
Canine Companions for Independence,f
Canines With a Cause,f
Captain Planet Foundation,t
Care for Children,t
"Caribbean Education Foundation, Inc.",t
Carolina China Network,t
Casa de los Angeles,f
CasaSito Association,f
Cascade AIDS Project (CAP),f
"Casita Linda, A.C.",f
Cat AdopTion Service,f
Catalysts for Social Action,f
Cathwel Service,f
CATIS Mexico,t
Caye Caulker Ocean Academy,f
CDI Apps for Good,f
Cedar Village,f
CEDRO (Centro de Educacion e Informacion para la Prevencion del Abuso de Drogas),f
CEMINA (Com.,f
Center for Amazon Community Ecology,t
Center for Arab American Philanthropy,f
Center for Conflict Resolution,f
Center for Inspired Teaching,f
Center for Women's Development and Research,f
Center Point Inc,f
Centre de Sante Leon Coicou,f
Centre for Domestic Training and Development,f
Centre for Youth Driven Development Initiatives,f
"Centro de Compartimiento, A.C.",f
Centro de Derecho Ambiental y de los Recursos Naturales (Cedarena),f
Centro Intereclesial de Estudios Teologicos y Sociales (CIEETS),f
Chab Dai USA,t
Chain of Hope KC,f
Challenging Heights,f
Chamber Music Northwest,f
Change A Life Uganda,t
Charentsavan Resource Center Charitable NGO,f
Charitable Foundation Volunteers to Help Orphans,f
Charity Foundation 'Change one life',f
Charity foundation 'Here and now',f
Charity Fund Early Intervention Institute,f
Charity Fund 'Our Children' ('Deti nashi'),f
charity: water,t
"CHEDRA (Community Health, Empowerment, Development and Relief Agency)",f
Chef Ann Foundation,f
Chelsea Hutchison Foundation,f
CHERISH OTHERS ORGANISATION KENYA,f
Chetana-Vikas (Consciousness-Development),f
Chicago Alliance Against Sexual Exploitation (CAASE),f
Chicuchas Wasi,t
Chiedza Child Care Centre,f
Childcare Development Organisation Uganda,f
Child Helpline International (CHI),f
Childhood Cancer Fund Rugut,f
Children Care Development Organization (CCDO),f
Children & Charity International,t
Children Hospital of San Vicente Foundation,f
Children of Ethiopia Education Fund,t
Children of the Night,t
Children's Cancer Association,f
Children's Emergency Relief International (CERI),t
Children's Healing Art Project (CHAP),f
Children's hearts,f
Children's Medical Aid Foundation,t
Children's Voice,f
"Children, Youth & Community Matching",f
Child Rescue Kenya,f
China California Heart Watch,t
China Tomorrow Education Foundation,t
Chinseu Community Based Organisation,f
